@cat01,@cat02,@area,@unit,$
0010,1,13101,世帯,36963
0010,1,131010010,世帯,0
0010,1,13101001002,世帯,0
0010,1,13101001003,世帯,0
0010,1,131010020,世帯,0
0010,1,13101002001,世帯,0
0010,1,131010030,世帯,0
0010,1,13101003002,世帯,0
0010,1,131010040,世帯,12
0010,1,131010050,世帯,7
0010,1,13101005001,世帯,0
0010,1,13101005002,世帯,0
0010,1,13101005003,世帯,7
0010,1,131010070,世帯,333
0010,1,131010080,世帯,1082
0010,1,13101008001,世帯,610
0010,1,13101008002,世帯,472
0010,1,131010090,世帯,1353
0010,1,13101009001,世帯,382
0010,1,13101009002,世帯,317
0010,1,13101009003,世帯,211
0010,1,13101009004,世帯,298
0010,1,13101009005,世帯,53
0010,1,13101009006,世帯,92
0010,1,131010100,世帯,301
0010,1,131010110,世帯,1694
0010,1,131010120,世帯,0
0010,1,131010140,世帯,94
0010,1,131010150,世帯,384
0010,1,131010160,世帯,1485
0010,1,13101016001,世帯,43
0010,1,13101016002,世帯,467
0010,1,13101016003,世帯,437
0010,1,13101016004,世帯,538
0010,1,131010170,世帯,1217
0010,1,13101017001,世帯,732
0010,1,13101017002,世帯,122
0010,1,13101017003,世帯,23
0010,1,13101017004,世帯,340
0010,1,131010180,世帯,2154
0010,1,13101018001,世帯,528
0010,1,13101018002,世帯,1626
0010,1,131010190,世帯,1480
0010,1,13101019001,世帯,147
0010,1,13101019002,世帯,812
0010,1,13101019003,世帯,211
0010,1,13101019004,世帯,310
0010,1,131010200,世帯,40
0010,1,13101020001,世帯,0
0010,1,13101020002,世帯,40
0010,1,131010210,世帯,2074
0010,1,13101021001,世帯,950
0010,1,13101021002,世帯,763
0010,1,13101021003,世帯,361
0010,1,131010220,世帯,546
0010,1,13101022001,世帯,13
0010,1,13101022002,世帯,237
0010,1,13101022003,世帯,296
0010,1,131010230,世帯,697
0010,1,13101023001,世帯,48
0010,1,13101023002,世帯,399
0010,1,13101023003,世帯,250
0010,1,131010240,世帯,679
0010,1,13101024001,世帯,222
0010,1,13101024002,世帯,457
0010,1,131010250,世帯,716
0010,1,13101025001,世帯,53
0010,1,13101025002,世帯,438
0010,1,13101025003,世帯,127
0010,1,13101025004,世帯,98
0010,1,131010260,世帯,821
0010,1,13101026001,世帯,288
0010,1,13101026002,世帯,250
0010,1,13101026003,世帯,283
0010,1,131010270,世帯,710
0010,1,13101027001,世帯,158
0010,1,13101027002,世帯,128
0010,1,13101027003,世帯,424
0010,1,131010280,世帯,98
0010,1,131010290,世帯,991
0010,1,13101029002,世帯,212
0010,1,13101029003,世帯,232
0010,1,131010300,世帯,318
0010,1,131010310,世帯,704
0010,1,131010320,世帯,655
0010,1,13101032001,世帯,116
0010,1,13101032002,世帯,539
0010,1,131010330,世帯,1142
0010,1,13101033001,世帯,704
0010,1,13101033002,世帯,438
0010,1,131010340,世帯,2367
0010,1,13101034001,世帯,133
0010,1,13101034002,世帯,724
0010,1,13101034003,世帯,275
0010,1,13101034004,世帯,536
0010,1,13101034005,世帯,171
0010,1,13101034006,世帯,528
0010,1,131010350,世帯,179
0010,1,13101035001,世帯,66
0010,1,13101035002,世帯,113
