標準地番号（都道府県市区町村コード）,標準地番号（用途）,標準地番号（連番）,全国主要地点,連番（県単位）,都道府県名,市郡名,区町村名,地名,住居表示,所在並びに地番,当年価格,前年価格,対前年変動率（％）,地積,地積・内私道分,形状区分,（比率）間口,（比率）奥行,利用区分,構造,（階層）地上,（階層）地下,前面道路区分,前面道路の方位区分,前面道路の幅員,前面道路の駅前区分,前面道路の舗装状況,側道方位区分,側道区分,給排水状況（ガス）,給排水状況（水道）,給排水状況（下水道）,最寄り駅名,交通施設との近接区分,最寄り駅迄の道路距離,法規制・用途区分,法規制・高度地区,法規制・防火・準防火,法規制・建蔽率,法規制・容積率,法規制・森林法,法規制・公園法,予備,区域区分,連番（全体）,対象年（和暦）,共通地点区分,半年前番号（都道府県市区町村コード）,半年前番号（用途）,半年前番号（連番）,半年前価格,対半年前変動率（％）,利用の現況,周辺の土地の利用の現況,予備
13101,05,004,0,0011,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　","神田岩本町１番２外　　　　　　　　　　　　　　　　　　　　　",0003090000,0003200000,      -3.4,0000000289,0000000000,7,010,025,1,1,09,1,21,2,0360,0,1,0,0,1,1,1,"岩本町　　　　　　　　　　　　　　　　　",1,00000,05,0,1,8,080,0,00,"  ",1,07341,03,0,00000,00,000,0000000000,       0.0,"店舗、事務所兼住宅　　　　　　　　　","中高層の事務所ビルが多い駅近接の商業地域　　　　　　　　　　　　","                                                                   "
13101,05,005,1,0012,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","外神田３－８－９　　　　　　　　　　　　　　　　　　　　　　　　","外神田３丁目４７番６　　　　　　　　　　　　　　　　　　　　",0002490000,0002580000,      -3.5,0000000215,0000000000,3,015,010,1,1,10,0,32,4,0270,0,1,0,2,1,1,1,"末広町　　　　　　　　　　　　　　　　　",1,00000,05,0,1,8,060,0,00,"  ",1,07342,03,2,00000,00,000,0000000000,       0.0,"店舗、事務所兼住宅　　　　　　　　　","中高層の店舗、事務所ビル等が建ち並ぶ商業地域　　　　　　　　　　","                                                                   "
13101,05,006,0,0013,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","外神田２－１３－３　　　　　　　　　　　　　　　　　　　　　　　","外神田２丁目９番１外　　　　　　　　　　　　　　　　　　　　",0001160000,0001190000,      -2.5,0000000246,0000000000,3,010,012,1,2,04,1,32,3,0060,0,1,0,0,1,1,1,"末広町　　　　　　　　　　　　　　　　　",0,00300,05,0,1,8,*050,0,00,"  ",1,07343,03,0,00000,00,000,0000000000,       0.0,"事務所兼住宅　　　　　　　　　　　　","中低層の事務所、共同住宅等が建ち並ぶ商業地域　　　　　　　　　　","                                                                   "
13101,05,007,1,0014,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　","神田小川町１丁目１番１外　　　　　　　　　　　　　　　　　　",0005650000,0005870000,      -3.7,0000000817,0000000000,7,010,015,1,3,08,1,21,7,0360,0,1,0,2,1,1,1,"淡路町　　　　　　　　　　　　　　　　　",1,00000,05,0,1,8,080,0,00,"  ",1,07344,03,1,13101,05,025,0005650000,       0.0,"銀行兼事務所　　　　　　　　　　　　","中高層の店舗兼事務所の建ち並ぶ商業地域　　　　　　　　　　　　　","                                                                   "
13101,05,008,0,0015,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","神田三崎町３－４－９　　　　　　　　　　　　　　　　　　　　　　","神田三崎町３丁目７番８外　　　　　　　　　　　　　　　　　　",0003260000,0003360000,      -3.0,0000000285,0000000000,1,010,010,1,1,08,0,32,8,0220,0,1,0,0,1,1,1,"水道橋　　　　　　　　　　　　　　　　　",0,00120,05,0,1,8,060,0,00,"  ",1,07345,03,0,00000,00,000,0000000000,       0.0,"事務所　　　　　　　　　　　　　　　","中高層の店舗、事務所ビルが建ち並ぶ商業地域　　　　　　　　　　　","                                                                   "
13101,05,009,0,0016,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　","麹町１丁目１２番６外　　　　　　　　　　　　　　　　　　　　",0003840000,0003960000,      -3.0,0000001602,0000000000,7,010,020,1,1,10,1,21,1,0270,0,1,2,1,1,1,1,"半蔵門　　　　　　　　　　　　　　　　　",0,00200,05,0,1,8,050,0,00,"  ",1,07346,03,0,00000,00,000,0000000000,       0.0,"店舗、事務所兼駐車場　　　　　　　　","店舗兼事務所ビル等が見られる商業地域　　　　　　　　　　　　　　","                                                                   "
13101,05,010,0,0017,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","九段南２－２－５　　　　　　　　　　　　　　　　　　　　　　　　","九段南２丁目１番２外　　　　　　　　　　　　　　　　　　　　",0003320000,0003410000,      -2.6,0000000182,0000000000,1,010,010,1,2,12,1,21,4,0270,0,1,0,0,1,1,1,"九段下　　　　　　　　　　　　　　　　　",0,00320,05,0,1,8,070,0,00,"  ",1,07347,03,0,00000,00,000,0000000000,       0.0,"店舗兼事務所　　　　　　　　　　　　","中高層の事務所ビルが建ち並ぶ商業地域　　　　　　　　　　　　　　","                                                                   "
13101,05,011,0,0018,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","飯田橋４－７－１０　　　　　　　　　　　　　　　　　　　　　　　","飯田橋４丁目１１番８　　　　　　　　　　　　　　　　　　　　",0004080000,0004230000,      -3.5,0000000217,0000000000,0,010,010,1,1,09,0,21,8,0270,0,1,0,0,1,1,1,"飯田橋　　　　　　　　　　　　　　　　　",0,00090,05,0,1,8,070,0,00,"  ",1,07348,03,0,00000,00,000,0000000000,       0.0,"店舗兼事務所　　　　　　　　　　　　","中高層の店舗、事務所ビルが集まる商業地域　　　　　　　　　　　　","                                                                   "
13101,05,012,0,0019,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","霞が関１－４－１　　　　　　　　　　　　　　　　　　　　　　　　","霞が関１丁目１１番外　　　　　　　　　　　　　　　　　　　　",0014600000,0014600000,       0.0,0000003985,0000000000,3,010,030,1,1,17,2,10,7,0450,0,1,0,2,1,1,1,"虎ノ門　　　　　　　　　　　　　　　　　",1,00000,05,0,1,8,*080,0,00,"  ",1,07349,03,0,00000,00,000,0000000000,       0.0,"店舗兼事務所　　　　　　　　　　　　","大規模な事務所ビルが建ち並ぶ商業地域　　　　　　　　　　　　　　","                                                                   "
13101,05,013,0,0020,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","岩本町２－２－１０　　　　　　　　　　　　　　　　　　　　　　　","岩本町２丁目１７２番３　　　　　　　　　　　　　　　　　　　",0001070000,0001100000,      -2.7,0000000112,0000000000,0,012,010,1,3,07,0,32,8,0080,0,1,0,0,1,1,1,"岩本町　　　　　　　　　　　　　　　　　",0,00270,05,0,1,8,060,0,00,"  ",1,07350,03,0,00000,00,000,0000000000,       0.0,"事務所　　　　　　　　　　　　　　　","中層の事務所ビルが建ち並ぶ商業地域　　　　　　　　　　　　　　　","                                                                   "
13101,05,014,0,0021,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","永田町２－１３－１　　　　　　　　　　　　　　　　　　　　　　　","永田町２丁目８１番１外　　　　　　　　　　　　　　　　　　　",0008100000,0008240000,      -1.7,0000000335,0000000000,5,020,010,1,3,09,0,21,3,0400,0,1,0,2,1,1,1,"赤坂見附　　　　　　　　　　　　　　　　",0,00140,05,0,1,8,070,0,00,"  ",1,07351,03,0,00000,00,000,0000000000,       0.0,"事務所　　　　　　　　　　　　　　　","高層の店舗兼事務所ビルが建ち並ぶ商業地域　　　　　　　　　　　　","                                                                   "
13101,05,015,0,0022,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　","二番町３番４　　　　　　　　　　　　　　　　　　　　　　　　",0004350000,0004470000,      -2.7,0000000628,0000000000,5,010,010,1,1,08,2,32,6,0160,0,1,0,0,1,1,1,"麹町　　　　　　　　　　　　　　　　　　",0,00080,05,0,1,8,060,0,00,"  ",1,07352,03,0,00000,00,000,0000000000,       0.0,"事務所兼車庫　　　　　　　　　　　　","中高層の店舗、事務所ビルが多い商業地域　　　　　　　　　　　　　","                                                                   "
13101,05,016,0,0023,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　","神田神保町１丁目２９番３外　　　　　　　　　　　　　　　　　",0001540000,0001590000,      -3.1,0000000226,0000000000,3,010,015,1,2,05,1,32,2,0080,0,1,0,5,1,1,1,"神保町　　　　　　　　　　　　　　　　　",0,00170,05,0,1,8,060,0,00,"  ",1,07353,03,0,00000,00,000,0000000000,       0.0,"事務所、店舗兼住宅　　　　　　　　　","中層の店舗兼事務所ビルが多く見られる商業地域　　　　　　　　　　","                                                                   "
